название,дистрибьютор,дата_старта,тотал_экраны,тотал_сбор,тотал_зритель,тотал_наработка,сбор_чт,множ_чт,премьерный_уикенд_экраны,премьерный_уикенд_сбор,премьерный_уикенд_зритель,премьерный_уикенд_наработка,второй_уикенд_сбор,второй_уикенд_зритель,второй_уикенд_падение,превью_сбор,превью_дни,жанр,страна
РУДОЛЬФ НУРЕЕВ: ОСТРОВ ЕГО МЕЧТЫ,RFLF,08.12.16,16,250 тыс,"1,2 тыс",16 тыс,,,16,150 тыс,650,"9,4 тыс",,,,,,документальный,"RUONLY, TUR"
МУЛЬТ В КИНО. ВЫПУСК № 42,MVK,08.12.16,383,"2,9 млн",24 тыс,"7,7 тыс",,,383,"1,8 млн",15 тыс,"4,6 тыс","1,1 млн","9,7 тыс",36.57,,,анимация,RUONLY
ЗЕМЛЕТРЯСЕНИЕ,CRP,01.12.16,1201,220 млн,897 тыс,183 тыс,18 млн,0.18,1201,98 млн,360 тыс,81 тыс,57 млн,219 тыс,41.33,,,драма,RUONLY
ЗАГАДАЙ ЖЕЛАНИЕ,VKL,01.12.16,40,903 тыс,"4,4 тыс",23 тыс,,,40,424 тыс,"1,8 тыс",11 тыс,190 тыс,869,55.08,,,"комедия, мелодрама",RUONLY
28 ПАНФИЛОВЦЕВ,UPI,24.11.16,1181,386 млн,"1,8 млн",327 тыс,22 млн,0.12,1181,181 млн,723 тыс,153 тыс,76 млн,321 тыс,57.92,,,"драма, военный",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 41,MVK,24.11.16,383,"3,4 млн",29 тыс,"8,9 тыс",,,383,"2,2 млн",18 тыс,"5,7 тыс","1,2 млн",10 тыс,45.79,,,анимация,RUONLY
ЗООЛОГИЯ,ART,24.11.16,60,"1,1 млн","4,4 тыс",18 тыс,,,60,525 тыс,"2,0 тыс","8,8 тыс",,,,,,драма,"RUONLY, DE, FR"
ЭЛАСТИКО,NKI,24.11.16,485,20 млн,90 тыс,40 тыс,"1,8 млн",0.15,485,12 млн,49 тыс,24 тыс,"2,1 млн",10 тыс,82.39,,,"криминал, мелодрама, спорт",RUONLY
ПСИХИ,SPK,24.11.16,12,20 тыс,103,"1,7 тыс",,,12,20 тыс,103,"1,7 тыс",,,,,,мелодрама,RUONLY
СТОП! СНЯТО! НА БАЙКАЛ!,ASF,17.11.16,10,757 тыс,"3,0 тыс",76 тыс,,,10,353 тыс,"1,3 тыс",35 тыс,170 тыс,649,51.71,,,комедия,RUONLY
ДАМА ПИК,FOX,17.11.16,474,31 млн,121 тыс,65 тыс,"1,7 млн",0.11,474,15 млн,51 тыс,32 тыс,"6,7 млн",25 тыс,55.18,,,драма,RUONLY
ПРИКОСНОВЕНИЕ ВЕТРА,PRD,17.11.16,7,58 тыс,235,"8,3 тыс",,,7,28 тыс,109,"4,0 тыс",21 тыс,81,25.35,,,"комедия, драма, детектив",RUONLY
БРЕМЕНСКИЕ РАЗБОЙНИКИ,CP,10.11.16,906,37 млн,203 тыс,40 тыс,,,906,21 млн,108 тыс,23 тыс,"9,5 млн",55 тыс,54.71,,,"комедия, приключения, анимация",RUONLY
ВЗЛОМАТЬ БЛОГЕРОВ,BZL,10.11.16,59,"8,1 млн",22 тыс,138 тыс,,,59,"2,5 млн",11 тыс,42 тыс,716 тыс,"3,2 тыс",71.32,"4,0 млн",ЧТ - ВС,комедия,RUONLY
ХОРОШИЙ МАЛЬЧИК,WDSSPR,10.11.16,802,75 млн,318 тыс,94 тыс,"3,2 млн",0.08,802,39 млн,153 тыс,49 тыс,17 млн,73 тыс,55.51,,,комедия,RUONLY
ЛЮБОВЬ БЕЗ ПРАВИЛ,CRP,10.11.16,594,12 млн,51 тыс,20 тыс,,,594,"7,5 млн",29 тыс,13 тыс,"1,4 млн","6,2 тыс",81.19,,,комедия,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 40,MVK,10.11.16,377,"3,2 млн",27 тыс,"8,4 тыс",,,377,"1,7 млн",14 тыс,"4,5 тыс","1,4 млн",12 тыс,15.32,,,анимация,RUONLY
МОЛОТ,CP,03.11.16,827,90 млн,393 тыс,109 тыс,,,827,53 млн,213 тыс,64 тыс,16 млн,67 тыс,70.48,,,"драма, спорт",RUONLY
ИСТОЧНИК,25FFC,03.11.16,139,587 тыс,"2,9 тыс","4,2 тыс",,,139,413 тыс,"1,9 тыс","3,0 тыс",61 тыс,370,85.26,,,"драма, мистика",RUONLY
СИНДБАД: ПИРАТЫ СЕМИ ШТОРМОВ,NKI,27.10.16,805,21 млн,130 тыс,26 тыс,521 тыс,0.06,805,"8,2 млн",43 тыс,10 тыс,"6,3 млн",38 тыс,24.11,,,анимация,RUONLY
ОПАСНЫЕ КАНИКУЛЫ,LUX,27.10.16,112,"1,9 млн",16 тыс,17 тыс,,,112,407 тыс,"3,3 тыс","3,6 тыс",417 тыс,"2,8 тыс",-2.44,,,"приключения, семейный",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 39,MVK,27.10.16,356,"4,5 млн",38 тыс,13 тыс,,,356,"2,3 млн",19 тыс,"6,5 тыс","2,2 млн",19 тыс,7.08,,,анимация,RUONLY
КЛАД,LUX,27.10.16,112,693 тыс,"5,6 тыс","6,2 тыс",,,112,108 тыс,793,967,78 тыс,495,28.36,,,"приключения, семейный",RUONLY
В ЛУЧАХ СОЛНЦА,CWF,27.10.16,20,"2,5 млн","8,1 тыс",124 тыс,,,17,984 тыс,"3,1 тыс",58 тыс,650 тыс,"3,3 тыс",33.96,,,документальный,"RUONLY, DE, CZE"
ОСЕНЬЮ 41-ГО,LUX,27.10.16,112,733 тыс,"6,2 тыс","6,5 тыс",,,112,154 тыс,"1,3 тыс","1,4 тыс",80 тыс,521,47.89,,,"приключения, военный",RUONLY
ЛЕДОКОЛ,NKI,20.10.16,1224,348 млн,"1,5 млн",284 тыс,13 млн,0.1,1224,129 млн,492 тыс,105 тыс,82 млн,325 тыс,36.14,603 тыс,ПН - СР,драма,RUONLY
СУПЕРПЛОХИЕ,PRD,13.10.16,618,16 млн,73 тыс,26 тыс,"1,7 млн",0.18,618,"9,6 млн",39 тыс,16 тыс,"1,7 млн","7,6 тыс",82.82,,,комедия,RUONLY
УЧЕНИК,VLG,13.10.16,252,15 млн,58 тыс,61 тыс,941 тыс,0.15,252,"6,2 млн",22 тыс,24 тыс,"3,0 млн",11 тыс,51.83,,,драма,RUONLY
"МОСКВА, Я ТЕРПЛЮ ТЕБЯ!",LUX,13.10.16,251,"3,6 млн",16 тыс,14 тыс,,,251,"1,7 млн","6,5 тыс","6,8 тыс",779 тыс,"3,0 тыс",54.49,,,"комедия, мелодрама",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 38,MVK,13.10.16,366,"4,4 млн",37 тыс,12 тыс,,,366,"2,4 млн",20 тыс,"6,6 тыс","1,9 млн",16 тыс,21.15,,,анимация,RUONLY
СДАЕТСЯ ДОМ СО ВСЕМИ НЕУДОБСТВАМИ,MFM,13.10.16,10,18 тыс,122,"1,8 тыс",,,10,18 тыс,122,"1,8 тыс",,,,,,комедия,RUONLY
ЗОЛОТОЙ ВЕК (Theatre HD),COOL,13.10.16,53,"1,9 млн","3,6 тыс",36 тыс,,,34,606 тыс,"1,1 тыс",18 тыс,,,,,,опера/балет,RUONLY
"ДЕРЖИ УДАР, ДЕТКА!",CRP,06.10.16,918,40 млн,182 тыс,44 тыс,"3,0 млн",0.14,918,22 млн,87 тыс,23 тыс,"8,2 млн",38 тыс,62.04,,,"комедия, мелодрама",RUONLY
КОЛЛЕКТОР,WDSSPR,06.10.16,378,46 млн,171 тыс,122 тыс,"2,4 млн",0.14,368,17 млн,56 тыс,46 тыс,"9,0 млн",31 тыс,46.51,,,триллер,RUONLY
ДУЭЛЯНТ,WDSSPR,29.09.16,1158,377 млн,"1,4 млн",326 тыс,24 млн,0.15,1154,156 млн,538 тыс,136 тыс,86 млн,297 тыс,44.89,,,драма,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 37,MVK,29.09.16,362,"3,5 млн",30 тыс,"9,6 тыс",,,362,"1,9 млн",16 тыс,"5,3 тыс","1,4 млн",12 тыс,25.77,,,анимация,RUONLY
ПЕТЕРБУРГ. ТОЛЬКО ПО ЛЮБВИ,PVZGL,22.09.16,122,16 млн,61 тыс,134 тыс,,,122,"3,8 млн",12 тыс,31 тыс,"2,8 млн","9,6 тыс",25.83,"1,9 млн",ПН - СР,"комедия, драма, мелодрама",RUONLY
ДИЗЛАЙК,FOX,22.09.16,375,10 млн,46 тыс,28 тыс,"1,0 млн",0.16,375,"6,6 млн",27 тыс,17 тыс,"1,5 млн","7,0 тыс",77.49,,,"комедия, ужасы",RUONLY
ЖЕНИХ,CRP,15.09.16,1287,482 млн,"2,1 млн",375 тыс,,,1287,194 млн,777 тыс,151 тыс,101 млн,416 тыс,47.99,,,комедия,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 36,MVK,15.09.16,341,"3,4 млн",29 тыс,"9,8 тыс",,,341,"2,0 млн",17 тыс,"5,9 тыс","1,3 млн",11 тыс,35.8,,,анимация,RUONLY
МОНАХ И БЕС,NKI,08.09.16,204,"4,5 млн",19 тыс,22 тыс,,,204,"2,0 млн","7,4 тыс",10 тыс,843 тыс,"3,7 тыс",58.67,,,комедия,RUONLY
КИНОТАВР. SHORTS,UTP,08.09.16,19,790 тыс,"3,3 тыс",42 тыс,,,19,227 тыс,"1,1 тыс",12 тыс,78 тыс,335,65.59,,,короткометражный,RUONLY
ГОНКИ ПО-ИТАЛЬЯНСКИ / Rosso Mille Miglia,LUX,08.09.16,26,157 тыс,552,"6,0 тыс",,,26,108 тыс,325,"4,2 тыс","7,6 тыс",62,92.92,,,"комедия, приключения, мелодрама","RUONLY, IT"
ПРОКОФЬЕВ: ВО ВРЕМЯ ПУТИ,RFLF,08.09.16,20,270 тыс,"1,0 тыс",14 тыс,,,20,270 тыс,"1,0 тыс",14 тыс,,,,,,документальный,RUONLY
ВСЕ О МУЖЧИНАХ,CRP,01.09.16,907,73 млн,297 тыс,80 тыс,,,907,41 млн,154 тыс,45 тыс,12 млн,48 тыс,70.54,,,комедия,RUONLY
ТЭЛИ И ТОЛИ,LUX,01.09.16,90,"1,2 млн","5,0 тыс",14 тыс,,,90,512 тыс,"1,9 тыс","5,7 тыс",235 тыс,936,54.04,,,"комедия, мелодрама",RUONLY
МУЛЬТ В КИНО. ДЕНЬ РОЖДЕНИЯ ЛУНТИКА,MVK,01.09.16,47,340 тыс,"3,0 тыс","7,2 тыс",,,25,271 тыс,"2,3 тыс",11 тыс,68 тыс,691,75.03,,,анимация,RUONLY
КОСТЯ,SMKT,01.09.16,4,741 тыс,"4,5 тыс",185 тыс,,,4,415 тыс,"2,5 тыс",104 тыс,154 тыс,905,62.94,,,мелодрама,RUONLY
НОЧНЫЕ СТРАЖИ,VLG,25.08.16,1003,33 млн,149 тыс,33 тыс,"5,2 млн",0.27,1003,19 млн,83 тыс,19 тыс,"4,0 млн",20 тыс,79.33,,,"боевик, фэнтези",RUONLY
СПАРТА,CRP,25.08.16,920,42 млн,200 тыс,46 тыс,"6,5 млн",0.28,920,24 млн,101 тыс,26 тыс,"4,5 млн",21 тыс,80.74,,,"драма, спорт",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 35,MVK,18.08.16,340,"4,0 млн",35 тыс,12 тыс,,,340,"1,1 млн","9,5 тыс","3,3 тыс","1,1 млн",10 тыс,-1.19,,,анимация,RUONLY
ПРОСТАЯ ИСТОРИЯ,AKM,18.08.16,20,385 тыс,"1,9 тыс",19 тыс,,,20,385 тыс,"1,9 тыс",19 тыс,,,,,,"драма, мелодрама",RUONLY
ПОВЕЛИТЕЛИ СНОВ,PRD,18.08.16,43,213 тыс,"1,3 тыс","5,0 тыс",,,43,104 тыс,607,"2,4 тыс",40 тыс,272,61.57,,,"комедия, фэнтези",RUONLY
ДИГГЕРЫ,CP,11.08.16,964,41 млн,182 тыс,42 тыс,"5,5 млн",0.23,964,24 млн,98 тыс,25 тыс,"5,3 млн",22 тыс,77.85,,,ужасы,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 34,MVK,21.07.16,338,"4,6 млн",40 тыс,14 тыс,,,338,"1,5 млн",12 тыс,"4,3 тыс","1,1 млн","9,4 тыс",24.17,,,анимация,RUONLY
ТАНЦУЙ СО МНОЙ,25FFC,14.07.16,102,616 тыс,"2,5 тыс","6,0 тыс",,,102,318 тыс,"1,4 тыс","3,1 тыс",132 тыс,733,58.57,,,"комедия, мелодрама, музыка",RUONLY
МУЛЬТИПОТАМ. ИЗ ЖИЗНИ ВЕСЕЛЫХ РАЗБОЙНИКОВ,KND,30.06.16,50,220 тыс,"4,4 тыс","4,4 тыс",,,10,"9,6 тыс",191,955,,,,211 тыс,ЧТ - СР,анимация,RUONLY
ЗАВТРАК У ПАПЫ,CP,23.06.16,835,75 млн,393 тыс,90 тыс,"6,2 млн",0.19,835,32 млн,147 тыс,38 тыс,13 млн,63 тыс,59.58,,,комедия,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 33,MVK,23.06.16,350,"4,4 млн",38 тыс,13 тыс,,,350,"1,2 млн",10 тыс,"3,6 тыс",857 тыс,"7,1 тыс",31.47,,,анимация,RUONLY
ЧЕЛОВЕК ИЗ БУДУЩЕГО,NKI,16.06.16,67,168 тыс,786,"2,5 тыс",,,67,92 тыс,334,"1,4 тыс",20 тыс,108,78.7,,,комедия,RUONLY
ОДНОКЛАССНИЦЫ,NKI,16.06.16,750,51 млн,217 тыс,68 тыс,,,750,27 млн,103 тыс,36 тыс,"7,5 млн",32 тыс,72.39,,,комедия,RUONLY
КОЛЬЦА МИРА,MVK,16.06.16,88,817 тыс,"3,8 тыс","9,3 тыс",,,88,408 тыс,"1,6 тыс","4,6 тыс",114 тыс,579,72.05,,,документальный,RUONLY
ЧИСТОЕ ИСКУССТВО,25FFC,09.06.16,415,"6,8 млн",21 тыс,16 тыс,532 тыс,0.15,415,"3,6 млн",13 тыс,"8,6 тыс",692 тыс,"2,7 тыс",80.71,,,триллер,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 32,MVK,26.05.16,348,"5,1 млн",44 тыс,15 тыс,,,348,"1,1 млн","9,5 тыс","3,3 тыс","1,2 млн",10 тыс,-8.37,,,анимация,RUONLY
ПЕРВАЯ МИРОВАЯ ВОЙНА WWI,MK,19.05.16,12,82 тыс,410,"6,8 тыс",,,12,82 тыс,410,"6,8 тыс",,,,,,короткометражный,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 31,MVK,12.05.16,339,"2,4 млн",20 тыс,"7,0 тыс",,,339,"1,1 млн","9,2 тыс","3,3 тыс",987 тыс,"8,4 тыс",10.8,,,анимация,RUONLY
72 ЧАСА,CRP,05.05.16,512,10 млн,48 тыс,20 тыс,800 тыс,0.15,512,"5,5 млн",24 тыс,11 тыс,"1,3 млн","6,3 тыс",76.03,,,"драма, военный",RUONLY
ВОЛКИ И ОВЦЫ: БЕЕЕЗУМНОЕ ПРЕВРАЩЕНИЕ,NKI,28.04.16,1175,154 млн,733 тыс,131 тыс,"4,5 млн",0.09,1175,52 млн,234 тыс,44 тыс,26 млн,127 тыс,49.77,,,анимация,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 30,MVK,28.04.16,338,"2,7 млн",23 тыс,"7,9 тыс",,,338,903 тыс,"7,6 тыс","2,7 тыс",827 тыс,"6,9 тыс",8.47,,,анимация,RUONLY
